Marathon Name,City,State/Country,Date,courseSlug,status,sourceUrl,note
Des Moines St. Paddys Marathon,"Des Moines, IA 03/14/2026",IA,03/14/2026,,not-on-source,,no goandrace listing in any crawl
St. Patricks Marathon,"Washington, DC 03/15/2026",DC,03/15/2026,,not-on-source,,no goandrace listing in any crawl
Bound for Boston (Las Vegas) Marathon,"Henderson, NV 03/15/2026",NV,03/15/2026,boston-marathon,in-db,,Boston Marathon
Grasslands Trail Run Marathon,"Decatur, TX 03/20/2027",TX,03/20/2027,,not-on-source,,no goandrace listing in any crawl
Asheville Marathon,"Asheville, NC 03/20/2027",NC,03/20/2027,asheville-marathon,in-db,,Asheville Marathon
Heroes of America Marathon,"Columbus, GA 03/20/2027",GA,03/20/2027,,not-on-source,,no goandrace listing in any crawl
,"Athens, GA 03/20/2027",GA,03/20/2027,athens-marathon,in-db,,Athens Marathon
Labor of Love Marathon,"Las Vegas, NV 03/21/2026",NV,03/21/2026,,not-on-source,,no goandrace listing in any crawl
Shamrock Marathon,"Virginia Beach, VA 03/21/2027",VA,03/21/2027,,not-on-source,,no goandrace listing in any crawl
Buzz Marathon,"San Miguel, CA 03/21/2026",CA,03/21/2026,,not-on-source,,no goandrace listing in any crawl
Napa Valley Trail Marathon,"Calistoga, CA 03/21/2026",CA,03/21/2026,,not-on-source,,no goandrace listing in any crawl
Bataan Memorial Death March Marathon,"White Sands Missle Range, NM 03/21/2026",NM,03/21/2026,,not-on-source,,no goandrace listing in any crawl
Oakland Marathon,"Oakland, CA 03/21/2027",CA,03/21/2027,oakland-marathon,in-db,,Oakland Marathon
Two Rivers Marathon,"Lackawaxen, PA 03/21/2026",PA,03/21/2026,,not-on-source,,no goandrace listing in any crawl
Irving Marathon,"Irving, TX 03/21/2027",TX,03/21/2027,irving-marathon,in-db,,Irving Marathon
Fort Smith Marathon,"Fort Smith, AR 03/21/2027",AR,03/21/2027,,not-on-source,,no goandrace listing in any crawl
Seoul Marathon,"Seoul, KR 03/21/2027",KR,03/21/2027,seoul-marathon,in-db,,Seoul Marathon
Race to Space Marathon,"Huntsville, AL 03/21/2027",AL,03/21/2027,,not-on-source,,no goandrace listing in any crawl
Two Rivers Marathon (Sunday),"Lackawaxen, PA 03/22/2026",PA,03/22/2026,,not-on-source,,no goandrace listing in any crawl
Griffith Park Trail Marathon,"Los Angeles, CA 03/28/2026",CA,03/28/2026,griffith-park-trail-marathon,parser-rejected,https://www.goandrace.com/en/running-events/griffith-park-trail-marathon-2025-los-angeles.php,fetch: event page links no course map
Mission Run in the Ozarks Marathon,"Mountain View, AR 03/27/2027",AR,03/27/2027,,not-on-source,,no goandrace listing in any crawl
Rend Lake Marathon,"Whittington, IL 03/27/2027",IL,03/27/2027,,not-on-source,,no goandrace listing in any crawl
McKirdy Micro Marathon (Breaking 3),"Valley Cottage, NY 03/28/2026",NY,03/28/2026,,not-on-source,,no goandrace listing in any crawl
Heckscher State Park Marathon,"East Islip, NY 03/28/2026",NY,03/28/2026,,not-on-source,,no goandrace listing in any crawl
B and A Marathon,"Severna Park, MD 03/29/2026",MD,03/29/2026,,not-on-source,,no goandrace listing in any crawl
Ohio River Road Runners Club Marathon,"Xenia, OH 03/29/2026",OH,03/29/2026,,not-on-source,,no goandrace listing in any crawl
Trailbreaker Marathon,"Waukesha, WI 03/29/2026",WI,03/29/2026,,not-on-source,,no goandrace listing in any crawl
Chattanooga Marathon,"Chattanooga, TN 03/29/2026",TN,03/29/2026,chattanooga-marathon,in-db,,Chattanooga Marathon
McKirdy Micro Marathon (MicroOTQ),"Valley Cottage, NY 03/29/2026",NY,03/29/2026,,not-on-source,,no goandrace listing in any crawl
Charlottesville Marathon,"Charlottesville, VA 04/03/2027",VA,04/03/2027,,not-on-source,,no goandrace listing in any crawl
Greater St. Louis Marathon,"St. Louis, MO 04/03/2027",MO,04/03/2027,st-louis-marathon,in-db,,St. Louis Marathon
Black Mountain Marathon,"Black Mountain, NC 04/03/2027",NC,04/03/2027,,not-on-source,,no goandrace listing in any crawl
Yakima River Canyon Marathon,"Ellensburg, WA 04/03/2027",WA,04/03/2027,,not-on-source,,no goandrace listing in any crawl
Savin Rock Marathon,"West Haven, CT 04/03/2027",CT,04/03/2027,,not-on-source,,no goandrace listing in any crawl
REVEL Mt. Charleston Marathon,"Las Vegas, NV 04/03/2027",NV,04/03/2027,revel-mt-charleston-marathon,in-db,,REVEL Mt Charleston Marathon
Salisbury Marathon,"Salisbury, MD 04/03/2027",MD,04/03/2027,,not-on-source,,no goandrace listing in any crawl
Cheap Marathon,"Derry, NH 04/03/2027",NH,04/03/2027,,not-on-source,,no goandrace listing in any crawl
Victory Marathon,"Hillsdale, IN 04/03/2027",IN,04/03/2027,,not-on-source,,no goandrace listing in any crawl
Bedrock Valley Trail Marathon,"Hemet, CA 04/03/2027",CA,04/03/2027,,not-on-source,,no goandrace listing in any crawl
Virginia Creeper Marathon,"Abingdon, VA 04/04/2027",VA,04/04/2027,,not-on-source,,no goandrace listing in any crawl
